Epoch,Train_Loss,Valid_Loss,Valid_Kappa,Valid_Acc,LR
1,3.3177493368031494,3.491973727614015,0.004320661465294862,0.06593406593406594,5e-05
2,3.131390640024172,3.2362430619669484,0.04452514407515584,0.14285714285714285,5e-05
3,3.0005704748331823,3.067998456430959,0.08500914076782451,0.0989010989010989,5e-05
4,2.80490922764928,2.858203426822201,0.06676050673637646,0.16483516483516483,5e-05
5,2.671698988977489,2.7389811290489448,0.09067715530987563,0.26373626373626374,5e-05
6,2.5407074844647104,2.4445910113198415,0.07578125000000002,0.2857142857142857,5e-05
7,2.501698590085284,2.299941353745513,0.10874339645040665,0.4175824175824176,5e-05
8,2.4073135765918567,2.2457970000885346,0.10495382031905964,0.4835164835164835,5e-05
9,2.2217915639247328,2.288704418874049,0.14436124092111935,0.4175824175824176,5e-05
10,2.130128942209387,2.244064666412689,0.14462007036706404,0.37362637362637363,5e-05
11,1.99948540526805,2.2403524026765926,0.11678295997062071,0.4725274725274725,5e-05
12,1.873046428033051,2.2185896307557496,0.1340278473404789,0.4835164835164835,5e-05
13,1.7677125865614767,2.1359278657934166,0.15984427141268076,0.42857142857142855,5e-05
14,1.6630829556384772,2.189634755417541,0.20833523115463437,0.4175824175824176,5e-05
15,1.664147082113731,2.1973265370169837,0.23788240399218907,0.3956043956043956,5e-05
16,1.5157147713837156,2.139363249579629,0.20541541718116085,0.4065934065934066,5e-05
17,1.468707255459049,1.938778172482501,0.2766134860192341,0.45054945054945056,5e-05
18,1.3711234203503724,1.9638852837321523,0.2770652681863026,0.45054945054945056,5e-05
19,1.3094670968066586,1.9636996054387355,0.2696481752561708,0.4725274725274725,5e-05
20,1.2366420370028068,2.12940613254086,0.3181366796063916,0.4725274725274725,5e-05
21,1.2776840767719209,1.908929549730741,0.38190799629515293,0.4945054945054945,5e-05
22,1.1340329850724726,1.8665954306885437,0.35939236754353476,0.4835164835164835,5e-05
23,1.1196414031308985,1.8844718147110153,0.3353135956369303,0.4725274725274725,5e-05
24,1.0614562509814807,1.9484235768789773,0.36177405519955597,0.42857142857142855,5e-05
25,1.0083831339599332,1.9084246289599074,0.4482002322280997,0.42857142857142855,5e-05
26,1.0611518891634322,1.847928076000004,0.42482283087531125,0.3956043956043956,5e-05
27,1.0143251715054002,1.824526778944246,0.421658409648201,0.43956043956043955,5e-05
28,1.0021949908727936,1.826147661104307,0.41208820545677816,0.4065934065934066,5e-05
29,0.9309223842783778,1.802609642783364,0.466248199217946,0.4835164835164835,5e-05
30,0.827831056367835,1.7564368012187246,0.41853035143769957,0.42857142857142855,5e-05
31,0.996980992427991,1.8681013741336026,0.3988770230100187,0.3956043956043956,5e-05
32,0.7810387274670438,1.9293329191731883,0.4409490520072027,0.42857142857142855,5e-05
33,0.8118728306950632,1.8574726660173018,0.4806888820951799,0.42857142857142855,5e-05
34,0.8473562638960558,1.8218331402474708,0.42827225130890045,0.3956043956043956,5e-05
35,0.7654295311158773,1.797984901365343,0.46814471332657115,0.42857142857142855,5e-05
36,0.7584121103710357,1.7622522233606694,0.4994826553395415,0.42857142857142855,5e-05
37,0.7344790189304221,1.7758560534361953,0.524460751612186,0.5054945054945055,5e-05
38,0.7571508030413495,1.7770251074990073,0.5277143450280257,0.4725274725274725,5e-05
39,0.7065358145633428,1.7664844491979579,0.5181720043181002,0.45054945054945056,5e-05
40,0.7025641737874928,1.7404419288530455,0.48398932621747837,0.45054945054945056,2.5e-05
41,0.6701066202753497,1.7636001450674874,0.473570780399274,0.4835164835164835,2.5e-05
42,0.6259989779196459,1.8009587670420553,0.4793067051830454,0.46153846153846156,2.5e-05
43,0.8050676239378631,1.831168764240139,0.4849334267694464,0.43956043956043955,2.5e-05
44,0.6025867411921942,1.8202987162621467,0.48924701305918306,0.45054945054945056,2.5e-05
45,0.6090916323227329,1.8160959796591118,0.4943297799954638,0.4835164835164835,2.5e-05
46,0.6002618618869564,1.7718441591158018,0.4992909410630212,0.46153846153846156,2.5e-05
47,0.6027364489157814,1.7922833516047552,0.49402697495183046,0.45054945054945056,2.5e-05
48,0.6308718994429552,1.8300800912982815,0.47971952535059337,0.42857142857142855,2.5e-05
49,0.5747943424825517,1.8367108407911363,0.46884207015398305,0.4725274725274725,2.5e-05
50,0.6008257868621235,1.849148887854356,0.4442977389008087,0.43956043956043955,1.25e-05
51,0.6453871099715353,1.860012209022438,0.463473524622382,0.4725274725274725,1.25e-05
52,0.5896990198073463,1.8089733490577111,0.48391262844629124,0.45054945054945056,1.25e-05
53,0.5780857705038066,1.7895260092976328,0.4525539160045402,0.42857142857142855,1.25e-05
54,0.5650393730687118,1.7796944288107066,0.4729628992488102,0.46153846153846156,1.25e-05
55,0.6002825034234953,1.8005806168357095,0.4433322211099989,0.4175824175824176,1.25e-05
56,0.5642565469806993,1.8433784731141813,0.43583058114606876,0.4175824175824176,1.25e-05
57,0.6055357716892737,1.8415175453647152,0.4146044624746451,0.4065934065934066,1.25e-05
58,0.5802947793300168,1.8420115250807543,0.4412003244120032,0.42857142857142855,1.25e-05
59,0.5635329938423661,1.8067220803145523,0.45715269014569226,0.4175824175824176,6.25e-06
60,0.578811782910775,1.8565797150790035,0.42603211009174313,0.4175824175824176,6.25e-06
61,0.5142947146181094,1.8009850271455534,0.46203778833893594,0.43956043956043955,6.25e-06
62,0.5859041602980846,1.7854032175881522,0.4937694704049844,0.42857142857142855,6.25e-06
63,0.521000325272458,1.7884216596792033,0.4836000453977982,0.43956043956043955,6.25e-06
64,0.5516859758687725,1.8522539322192852,0.46204272753877673,0.45054945054945056,6.25e-06
65,0.5511419177055359,1.8570485023351817,0.4839514574118182,0.46153846153846156,6.25e-06
66,0.546272212524892,1.8425927764766818,0.45234137674098696,0.43956043956043955,6.25e-06
67,0.550506728113648,1.8032470849844127,0.4321533923303835,0.4175824175824176,6.25e-06
68,0.5551434996323596,1.8190595029474614,0.477685369567764,0.42857142857142855,3.125e-06
69,0.5199825770491077,1.8472706118782798,0.4574638844301766,0.45054945054945056,3.125e-06
70,0.5525116259253378,1.8111708753711575,0.48402851849772643,0.45054945054945056,3.125e-06
71,0.4921453947494133,1.844917554121751,0.4836953407072039,0.4725274725274725,3.125e-06
72,0.5783981344151334,1.8201708846039824,0.48417808596114686,0.46153846153846156,3.125e-06
73,0.6210087609046684,1.7812564713614327,0.513631701128327,0.43956043956043955,3.125e-06
74,0.5675569670890078,1.7881427256615607,0.5039249890972525,0.43956043956043955,3.125e-06
75,0.5937549352374326,1.8381309430677812,0.47858399046916666,0.45054945054945056,3.125e-06
76,0.5434939012712118,1.8374550945156223,0.4533153669080906,0.45054945054945056,3.125e-06
77,0.5215450448571686,1.83907562821776,0.4528023598820059,0.46153846153846156,1.5625e-06
78,0.515856532138138,1.834899134688325,0.4725249246464178,0.43956043956043955,1.5625e-06
79,0.5116809573966441,1.8210198486244284,0.4882601889964636,0.4175824175824176,1.5625e-06
80,0.5427161358755107,1.7969510817265772,0.483399277481507,0.45054945054945056,1.5625e-06
81,0.4829709611340916,1.8042479714194497,0.49887615194425716,0.42857142857142855,1.5625e-06
82,0.4976595395789874,1.8085260443635038,0.4991939518594698,0.4725274725274725,1.5625e-06
83,0.5106848596440361,1.8171098887265384,0.46258815434894796,0.46153846153846156,1.5625e-06
84,0.5547428759735646,1.8874850666129983,0.49410029498525077,0.4835164835164835,1.5625e-06
85,0.5081460659216096,1.8472474669362162,0.4940097449125824,0.4945054945054945,1.5625e-06
86,0.5249748978772305,1.827576084451361,0.4940097449125824,0.4945054945054945,7.8125e-07
87,0.5566284725769234,1.7922111029153343,0.48328075709779184,0.45054945054945056,7.8125e-07
88,0.58220891094425,1.7827212600917606,0.5286002508315611,0.42857142857142855,7.8125e-07
89,0.5372702835089525,1.8092734525491903,0.4678362573099416,0.4725274725274725,7.8125e-07
90,0.5112928407338866,1.8168772681728824,0.4358959504084352,0.45054945054945056,7.8125e-07
91,0.5314373635349622,1.865774006633968,0.473570780399274,0.4725274725274725,7.8125e-07
92,0.5465637442734356,1.842308833048894,0.4459016393442623,0.4835164835164835,7.8125e-07
93,0.5042770084053074,1.8251364519307902,0.478330658105939,0.4945054945054945,7.8125e-07
94,0.5449943193542115,1.8215984328762516,0.45234137674098696,0.4725274725274725,7.8125e-07
95,0.5009448924748936,1.8194489138466972,0.4574638844301766,0.4835164835164835,3.90625e-07
96,0.5060862310926572,1.8709168276944004,0.488881247134342,0.4835164835164835,3.90625e-07
97,0.5569540525623226,1.8454912128029288,0.4940097449125824,0.4945054945054945,3.90625e-07
98,0.5283832942434759,1.821968403491345,0.4784807281717046,0.4175824175824176,3.90625e-07
99,0.4739359644388012,1.7985585312266925,0.42528535836375225,0.46153846153846156,3.90625e-07
100,0.5456917845306745,1.8340602235479668,0.4676513176947582,0.4835164835164835,3.90625e-07
